Country,Year1990,Year2015,PercentChange
Malawi,242.4,64,73.6
Liberia,255,69.9,72.59
Rwanda,151.8,41.7,72.53
Ethiopia,204.6,59.2,71.07
Niger,328.2,95.5,70.9
Uganda,187.1,54.6,70.82
Tanzania,165.2,48.7,70.52
Eritrea,151.4,46.5,69.29
Madagascar,160.7,49.6,69.14
Mozambique,239.7,78.5,67.25
Zambia,190.6,64,66.42
Senegal,140.4,47.2,66.38
South Sudan,253.2,92.6,63.43
Cabo Verde,62.7,24.5,60.93
Guinea,238.2,93.7,60.66
Guinea-Bissau,229.3,92.5,59.66
"Gambia, The",170.2,68.9,59.52
Sao Tome and Principe,110.7,47.3,57.27
Burkina Faso,202.2,88.6,56.18
Mali,254.4,114.7,54.91
Sierra Leone,264.3,120.4,54.45
Burundi,171.8,81.7,52.44
"Congo, Rep.",93.6,45,51.92
Kenya,102.3,49.4,51.71
Ghana,127.4,61.6,51.65
Equatorial Guinea,189.5,94.1,50.34
Nigeria,212.5,108.8,48.8
"Congo, Dem. Rep.",186.5,98.3,47.29
Togo,146.2,78.4,46.37
Gabon,92.9,50.8,45.32
Sudan,127.5,70.1,45.02
Benin,179.5,99.5,44.57
Mauritius,23.1,13.5,41.56
Comoros,125.1,73.5,41.25
Cote d'Ivoire,152.6,92.6,39.32
Namibia,73.5,45.4,38.23
Cameroon,138,87.9,36.3
Chad,214.6,138.7,35.37
South Africa,59.9,40.5,32.39
Angola,226,156.9,30.58
Mauritania,118.1,84.7,28.28
Central African Republic,176.5,130.1,26.29
Somalia,180.2,136.8,24.08
Botswana,54.2,43.6,19.56
Swaziland,74.7,60.7,18.74
Seychelles,16.5,13.6,17.58
Zimbabwe,75.8,70.7,6.73
Lesotho,88.1,90.2,0
