Country,childMortality,water
Angola,156.9,28.2
Burundi,81.7,73.8
Benin,99.5,72.1
Burkina Faso,88.6,75.8
Botswana,43.6,92.3
Central African Republic,130.1,54.4
Cote d'Ivoire,92.6,68.8
Cameroon,87.9,52.7
"Congo, Rep.",45,40
Comoros,73.5,89.1
Cabo Verde,24.5,87.3
Eritrea,46.5,53.3
Ethiopia,59.2,48.6
Gabon,50.8,66.7
Ghana,61.6,84
Guinea,93.7,67.4
"Gambia, The",68.9,84.4
Guinea-Bissau,92.5,60.3
Equatorial Guinea,94.1,31.5
Kenya,49.4,56.8
Liberia,69.9,62.6
Lesotho,90.2,77
Madagascar,49.6,35.3
Mali,114.7,64.1
Mozambique,78.5,37
Mauritania,84.7,57.1
Mauritius,13.5,99.8
Malawi,64,89.1
Namibia,45.4,84.6
Niger,95.5,48.6
Nigeria,108.8,57.3
Rwanda,41.7,71.9
Senegal,47.2,67.3
Sierra Leone,120.4,47.8
South Sudan,92.6,56.9
Sao Tome and Principe,47.3,93.6
Swaziland,60.7,68.9
Seychelles,13.6,95.7
Chad,138.7,44.8
Togo,78.4,44.2
Tanzania,48.7,45.5
Uganda,54.6,75.8
South Africa,40.5,81.4
"Congo, Dem. Rep.",98.3,31.2
Zambia,64,51.3
Zimbabwe,70.7,67.3
